timestamp,flow_id,dst_ip,sport,dport,before_next_hop,after_next_hop,rehash_status,before_line,after_line
20260630_002919,1,10.0.24.3,10001,20001,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.3 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.3 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,2,10.0.24.4,10002,20002,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.4 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.4 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,3,10.0.24.5,10003,20003,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.5 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.5 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,4,10.0.24.6,10004,20004,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.6 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.6 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,5,10.0.24.7,10005,20005,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.7 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.7 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,6,10.0.24.8,10006,20006,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.8 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.8 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,7,10.0.24.9,10007,20007,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.9 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.9 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,8,10.0.24.10,10008,20008,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.10 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.10 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,9,10.0.24.11,10009,20009,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.11 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.11 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,10,10.0.24.12,10010,20010,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.12 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.12 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,11,10.0.24.13,10011,20011,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.13 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.13 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,12,10.0.24.14,10012,20012,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.14 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.14 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,13,10.0.24.15,10013,20013,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.15 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.15 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,14,10.0.24.16,10014,20014,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.16 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.16 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,15,10.0.24.17,10015,20015,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.17 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.17 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,16,10.0.24.18,10016,20016,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.18 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.18 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,17,10.0.24.19,10017,20017,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.19 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.19 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,18,10.0.24.20,10018,20018,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.20 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.20 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,19,10.0.24.21,10019,20019,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.21 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.21 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,20,10.0.24.22,10020,20020,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.22 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.22 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,21,10.0.24.23,10021,20021,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.23 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.23 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,22,10.0.24.24,10022,20022,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.24 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.24 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,23,10.0.24.25,10023,20023,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.25 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.25 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,24,10.0.24.26,10024,20024,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.26 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.26 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,25,10.0.24.27,10025,20025,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.27 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.27 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,26,10.0.24.28,10026,20026,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.28 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.28 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,27,10.0.24.29,10027,20027,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.29 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.29 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,28,10.0.24.30,10028,20028,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.30 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.30 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,29,10.0.24.31,10029,20029,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.31 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.31 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,30,10.0.24.32,10030,20030,10.0.34.3,10.0.23.2,remapped_failed_to_survivor,"10.0.24.32 from 10.0.35.2 via 10.0.34.3 dev eth3 uid 0 ","10.0.24.32 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,31,10.0.24.33,10031,20031,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.33 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.33 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
20260630_002919,32,10.0.24.34,10032,20032,10.0.23.2,10.0.23.2,stayed_on_survivor,"10.0.24.34 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 ","10.0.24.34 from 10.0.35.2 via 10.0.23.2 dev eth2 uid 0 "
